gene	uniprot
HGD76_16015	A0A6H2C1Y7
HGD76_15465	A0A6H2C1Z7
HGD76_14750	A0A6H2C209
HGD76_18655	A0A6H2C225
HGD76_13395	A0A6H2C237
HGD76_16895	A0A6H2C255
HGD76_13510	A0A6H2C256
HGD76_13760	A0A6H2C259
HGD76_15135	A0A6H2C270
HGD76_17085	A0A6H2C286
HGD76_15080	A0A6H2C2B2
HGD76_13840	A0A6H2C2B9
HGD76_19250	A0A6H2C2C5
HGD76_15690	A0A6H2C2G0
HGD76_17295	A0A6H2C2J4
HGD76_19760	A0A6H2C2L7
HGD76_14470	A0A6H2C2M1
HGD76_17515	A0A6H2C2N4
HGD76_16335	A0A6H2C2S1
HGD76_16050	A0A6H2C2S3
HGD76_18315	A0A6H2C2T0
HGD76_16525	A0A6H2C2V2
HGD76_15025	A0A6H2C2W1
HGD76_15150	A0A6H2C2Y1
HGD76_17280	A0A6H2C2Y4
HGD76_15480	A0A6H2C2Y6
HGD76_17505	A0A6H2C2Y9
HGD76_16535	A0A6H2C305
HGD76_20740	A0A6H2C329
HGD76_18905	A0A6H2C330
HGD76_16900	A0A6H2C365
HGD76_16095	A0A6H2C385
HGD76_21115	A0A6H2C398
HGD76_16220	A0A6H2C3A5
HGD76_18405	A0A6H2C3C6
HGD76_17585	A0A6H2C3D4
HGD76_16410	A0A6H2C3D5
HGD76_21460	A0A6H2C3F0
HGD76_18585	A0A6H2C3F5
HGD76_21640	A0A6H2C3I7
HGD76_19420	A0A6H2C3J1
HGD76_18000	A0A6H2C3J3
HGD76_16540	A0A6H2C3K8
HGD76_17780	A0A6H2C3L5
HGD76_19995	A0A6H2C3M1
HGD76_21845	A0A6H2C3M3
HGD76_21975	A0A6H2C3P9
HGD76_20180	A0A6H2C3Q1
HGD76_19160	A0A6H2C3Q4
HGD76_19805	A0A6H2C3R0
HGD76_19280	A0A6H2C3S3
HGD76_22220	A0A6H2C3T3
HGD76_19095	A0A6H2C3U2
HGD76_19155	A0A6H2C3V2
HGD76_22460	A0A6H2C3X9
HGD76_22515	A0A6H2C3Y9
HGD76_22750	A0A6H2C426
HGD76_17605	A0A6H2C438
HGD76_21130	A0A6H2C456
HGD76_22980	A0A6H2C464
HGD76_23120	A0A6H2C483
HGD76_20210	A0A6H2C484
HGD76_18075	A0A6H2C4A5
HGD76_20325	A0A6H2C4B0
HGD76_18420	A0A6H2C4B9
HGD76_23425	A0A6H2C4D4
HGD76_20320	A0A6H2C4E8
HGD76_18460	A0A6H2C4G6
HGD76_21340	A0A6H2C4H1
HGD76_18515	A0A6H2C4H6
HGD76_20115	A0A6H2C4K0
HGD76_21515	A0A6H2C4K1
HGD76_21985	A0A6H2C4K4
HGD76_23905	A0A6H2C4L5
HGD76_20300	A0A6H2C4M8
HGD76_24040	A0A6H2C4P0
HGD76_21085	A0A6H2C4S6
HGD76_21965	A0A6H2C4T4
HGD76_22720	A0A6H2C4X2
HGD76_19640	A0A6H2C4X6
HGD76_22330	A0A6H2C4Z2
HGD76_20645	A0A6H2C4Z3
HGD76_22450	A0A6H2C512
HGD76_04095	A0A6H2C518
HGD76_19920	A0A6H2C529
HGD76_23085	A0A6H2C530
HGD76_20945	A0A6H2C540
HGD76_06015	A0A6H2C546
HGD76_22755	A0A6H2C561
HGD76_21360	A0A6H2C568
HGD76_20065	A0A6H2C591
HGD76_09690	A0A6H2C592
HGD76_11900	A0A6H2C5C5
HGD76_20520	A0A6H2C5C6
HGD76_13495	A0A6H2C5C8
HGD76_22440	A0A6H2C5D1
HGD76_13235	A0A6H2C5D5
HGD76_21540	A0A6H2C5D8
HGD76_22435	A0A6H2C5F4
HGD76_21815	A0A6H2C5F7
HGD76_22040	A0A6H2C5J6
HGD76_20725	A0A6H2C5K1
HGD76_24135	A0A6H2C5K2
HGD76_23675	A0A6H2C5L5
HGD76_22920	A0A6H2C5N5
HGD76_23860	A0A6H2C5P2
HGD76_20175	A0A6H2C5P4
HGD76_22035	A0A6H2C5Q9
HGD76_21375	A0A6H2C5W3
