(+)-Limonene	CC1=CCC(CC1)C(=C)C
(S)-3-Hydroxyisobutyryl-CoA	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(S)-3-Hydroxytetradecanoyl-CoA	CCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-Acetoin	CC(C(=O)C)O
(S)-Canadine	COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC
(S)-Hydroxydecanoyl-CoA	CCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-Hydroxyhexanoyl-CoA	CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-Hydroxyoctanoyl-CoA	CCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(Z)-Phenylacetaldehyde oxime	C1=CC=C(C=C1)CC=NO
1,2-Dehydroreticuline	C[N+]1=C(C2=CC(=C(C=C2CC1)OC)O)CC3=CC(=C(C=C3)OC)O
1,2-Diacyl-sn-glycerol didodecanoyl	
1,2-Diacyl-sn-glycerol dihexadec-9-enoyl	
1,2-Diacyl-sn-glycerol dihexadecanoyl	
1,2-Diacyl-sn-glycerol dioctadec-11-enoyl	
1,2-Diacyl-sn-glycerol dioctadecanoyl	
1,2-Diacyl-sn-glycerol ditetradec-7-enoyl	
1,2-Diacyl-sn-glycerol ditetradecanoyl	
1,2-Dianteisoheptadecanoyl-sn-glycerol	
1,2-Dianteisopentadecanoyl-sn-glycerol	
1,2-Dibromoethane	C(CBr)Br
1,2-Diisoheptadecanoyl-sn-glycerol	
1,2-Diisohexadecanoyl-sn-glycerol	
1,2-Diisopentadecanoyl-sn-glycerol	
1,2-Diisotetradecanoyl-sn-glycerol	
1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	
1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate	
1,2-didodecanoyl-sn-glycerol 3-phosphate	
1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	
1,2-dihexadecanoyl-sn-glycerol 3-phosphate	
1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate	
1,2-diisohexadecanoyl-sn-glycerol 3-phosphate	
1,2-diisopentadecanoyl-sn-glycerol 3-phosphate	
1,2-diisotetradecanoyl-sn-glycerol 3-phosphate	
1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	
1,2-dioctadecanoyl-sn-glycerol 3-phosphate	
1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])[O-])OC(=O)CCCCCC=CCCCCCC
1,2-ditetradecanoyl-sn-glycerol 3-phosphate	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])[O-])OC(=O)CCCCCCCCCCCCC
1,3-Bisphospho-D-glycerate	C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O
1,4-Dihydroxy-2-naphthoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=C(C5=CC=CC=C5C(=C4)O)O)O
1-(2-carboxyphenylamino)-1-deoxyribulose 5-phosphate	C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O
1-4-Dihydroxy-2-naphthoate	
1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl	
1-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl	
1-Acyl-sn-glycero-3-phosphoethanolamine hexadecanoyl	
1-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl	
1-Acyl-sn-glycero-3-phosphoethanolamine tetradecanoyl	
1-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl	
1-Acyl-sn-glycero-3-phosphoglycerol hexadec-9-enoyl	
1-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl	
1-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl	
1-Acyl-sn-glycero-3-phosphoglycerol octadecanoyl	
1-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl	
1-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl	
1-Alkenyl-2-acylglycerol	
1-Alkyl-2-acylglycerol	
1-Alkyl-2-acylglycerophosphoethanolamine	
1-Aminopropan-2-ol	CC(CN)O
