(+)-Limonene	CC1=CCC(CC1)C(=C)C
1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene	C1=CC2=C(C=CC(C2O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=C1)[N+](=O)[O-]
1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene	C1=CC2=C(C(C(C=C2)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O)C(=C1)[N+](=O)[O-]
1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene	C1=CC2=C(C(C(C=C2)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=C1)[N+](=O)[O-]
1-Nitronaphthalene-5,6-oxide	C1=CC2=C(C=CC3C2O3)C(=C1)[N+](=O)[O-]
1-Nitronaphthalene-7,8-oxide	C1=CC2=C(C3C(O3)C=C2)C(=C1)[N+](=O)[O-]
1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate	
1-Phosphatidyl-1D-myo-inositol 3-phosphate	C(C(COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)O)O)O)C(=O)O)C(=O)O
1-Pyrroline-4-hydroxy-2-carboxylate	C1C(CN=C1C(=O)O)O
1-Pyrroline-5-carboxylate	C1CC(N=C1)C(=O)[O-]
1-anteisoheptadecanoyl-sn-glycerol 3-phosphate	
1-deoxy-D-xylulose5-phosphate	
1-isoheptadecanoyl-sn-glycerol 3-phosphate	
10-Formyl-THF-L-glutamate	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O
10-Formyldihydrofolate	C1C(=NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
10-Formyltetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
10-methyl-3-hydroxy-dodecanoyl-ACP	
